year,file_name,url,metadata_url,last_updated
2011,mb_count_2011.xls,https://www.abs.gov.au/ausstats/subscriber.nsf/log?openagent&censuscounts_mb_2011_aust.xls&2074.0&Data%20Cubes&C94E6459A4C95B52CA257AD0000F1CBA&0&2011&11.12.2012&Latest,https://www.abs.gov.au/AUSSTATS/abs@.nsf/allprimarymainfeatures/EE9CF6DA5B6275A8CA2581520083D1C6?opendocument=,11/12/2012
2011,asgs_vol_1_2011.zip,,https://www.abs.gov.au/AUSSTATS/abs@.nsf/Lookup/1270.0.55.001Main+features1July%202011?OpenDocument,23/12/2010
2011,asgs_vol_2_2011.zip,,,
2011,asgs_vol_3_2011.zip,,,
2011,asgs_vol_4_2011.zip,,,
2016,mb_count_2016.xls,https://www.abs.gov.au/AUSSTATS/subscriber.nsf/log?openagent&2016%20census%20mesh%20block%20counts.xls&2074.0&Data%20Cubes&535327AC06881E77CA2581520083CECC&0&2016&04.07.2017&Latest,https://www.abs.gov.au/AUSSTATS/abs@.nsf/allprimarymainfeatures/B58F9B40B7D4B4CDCA257AD0000F1EF0?opendocument=,4/7/2017
2016,asgs_vol_1_2016.zip,https://www.abs.gov.au/AUSSTATS/subscriber.nsf/log?openagent&1270055001_ASGS_2016_vol_1_geopackage.zip&1270.0.55.001&Data%20Cubes&C406A18CE1A6A50ACA257FED00145B1D&0&July%202016&12.07.2016&Latest,https://www.abs.gov.au/ausstats/abs@.nsf/mf/1270.0.55.001,12/7/2016
2016,asgs_vol_2_2016.zip,https://www.abs.gov.au/ausstats/subscriber.nsf/log?openagent&1270055002_asgs_2016_vol_2_geopackage.zip&1270.0.55.002&Data%20Cubes&C6632C08F1009635CA25802C00141AF6&0&July%202016&13.09.2016&Latest,https://www.abs.gov.au/ausstats/abs@.nsf/mf/1270.0.55.002,13/9/2016
2016,asgs_vol_3_2016.zip,https://www.abs.gov.au/AUSSTATS/subscriber.nsf/log?openagent&1270055003_asgs_2016_vol_3_aust_gpkg.zip&1270.0.55.003&Data%20Cubes&5B5A14600B65C072CA25833D000EB95E&0&July%202016&07.11.2018&Previous,https://www.abs.gov.au/ausstats/abs@.nsf/mf/1270.0.55.003,7/11/2018
2016,asgs_vol_4_2016.zip,https://www.abs.gov.au/ausstats/subscriber.nsf/log?openagent&1270055004_asgs_2016_vol4_geopackage.zip&1270.0.55.004&Data%20Cubes&05219DCA5D2B915CCA2581B1000E2DC4&0&July%202016&09.10.2017&Latest,https://www.abs.gov.au/ausstats/abs@.nsf/mf/1270.0.55.004,9/10/2017
2021,mb_count_2021.xlsx,https://www.abs.gov.au/census/guide-census-data/mesh-block-counts/2021/Mesh%20Block%20Counts%2C%202021.xlsx,https://www.abs.gov.au/census/guide-census-data/mesh-block-counts/2021,28/6/2022
2021,asgs_vol_1_2021.zip,https://www.abs.gov.au/statistics/standards/australian-statistical-geography-standard-asgs-edition-3/jul2021-jun2026/access-and-downloads/digital-boundary-files/ASGS_2021_MAIN_STRUCTURE_GPKG_GDA2020.zip,https://www.abs.gov.au/statistics/standards/australian-statistical-geography-standard-asgs-edition-3/jul2021-jun2026/access-and-downloads/digital-boundary-files,20/7/2021
2021,asgs_vol_2_2021.zip,https://www.abs.gov.au/statistics/standards/australian-statistical-geography-standard-asgs-edition-3/jul2021-jun2026/access-and-downloads/digital-boundary-files/ASGS_Ed3_2021_Indigenous_Structure_GDA2020_GPKG.zip,https://www.abs.gov.au/statistics/standards/australian-statistical-geography-standard-asgs-edition-3/jul2021-jun2026/access-and-downloads/digital-boundary-files,6/10/2021
2021,asgs_vol_3_2021.zip,https://www.abs.gov.au/statistics/standards/australian-statistical-geography-standard-asgs-edition-3/jul2021-jun2026/access-and-downloads/digital-boundary-files/ASGS_Ed3_Non_ABS_Structures_GDA2020_updated_2024.zip,https://www.abs.gov.au/statistics/standards/australian-statistical-geography-standard-asgs-edition-3/jul2021-jun2026/access-and-downloads/digital-boundary-files,24/7/2024
2021,asgs_vol_4_2021.zip,https://www.abs.gov.au/statistics/standards/australian-statistical-geography-standard-asgs-edition-3/jul2021-jun2026/access-and-downloads/digital-boundary-files/ASGS_2021_SUA_UCL_SOS_SOSR_GPKG_GDA2020.zip,https://www.abs.gov.au/statistics/standards/australian-statistical-geography-standard-asgs-edition-3/jul2021-jun2026/access-and-downloads/digital-boundary-files,5/10/2022